Nom,Auteur,Catégorie,Goldmine,Link,Status
Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,Société,,https://www.amazon.fr/Numbers-Dont-Lie-Things-About/dp/0241989698/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1636124808&sr=8-2,To buy
L’anomalie,Hervé Le Tellier,Roman,,https://www.amazon.fr/Lanomalie-Herv%C3%A9-Tellier/dp/207289509X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1636125134&sr=8-1,Finished
1Q84,Haruki Murakami,Roman,,https://www.amazon.fr/gp/product/2264057882/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i2,Ready to Start
"L'âge du faire - Hacking, travail, anarchie",Michel Lallement,Société,,https://www.amazon.fr/L%C3%A2ge-faire-Hacking-travail-anarchie/dp/2757872508/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=L%27%C3%82ge+du+Faire&qid=1636403604&sr=8-1,Finished
L'Espion et le Traître,Ben Macintyre,Roman,,https://www.amazon.fr/LEspion-Tra%C3%AEtre-Ben-MACINTYRE/dp/2266309846/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=The+Spy+and+the+Traitor%3A+The+Greatest+Espionage+Story+of+the+Cold+War%2C+by+Ben+Macintyre.&qid=1636404351&sr=8-3,Finished
Pourquoi nous dormons,Matthew Walker,Société,,https://www.amazon.fr/Pourquoi-nous-dormons-Matthew-WALKER/dp/2266287230/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Matthew+Walker&qid=1636404690&sr=8-2,Finished
Climat : comment éviter un désastre: Les solutions actuelles,Bill Gates,Société,,https://www.amazon.fr/Climat-Comment-d%C3%A9sastre-Bill-Gates/dp/208151642X/ref=sr_1_9_sspa?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2F4GTQLXW1DKX&keywords=daniel+kahneman&qid=1636451620&refinements=p_n_feature_browse-bin%3A5272956031&rnid=5272947031&s=books&sprefix=daniel%2Caps%2C187&sr=1-9-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyQkxMQVREM0tCRENPJmVuY3J5cHRlZElkPUExMDM1MDAxUFEwTFNNVDhVS0Y1JmVuY3J5cHRlZEFkSWQ9QTAyNjAxMTYxWU1BQTdROUxJWDkwJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,Finished
Think Big,Dr Grace Lordan,Développement personnel,"Goldmine ⭐️    ",,Finished
Hard Things,Ben Horowitz,Business,,,Finished
Le commencement de l'infini,David Deutsch,Sciences,,,Reading
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Taleb,Société,,https://www.amazon.fr/Skin-Game-Hidden-Asymmetries-Daily/dp/0425284646/ref=sr_1_10?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1JCB9PDAL4F6K&keywords=nassim+nicholas+taleb&qid=1637490254&sprefix=nassim+%2Caps%2C183&sr=8-10,Finished
Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard Feynman,Sciences,,https://www.amazon.fr/Six-Easy-Pieces-Essentials-Explained/dp/0465025277/ref=sr_1_7?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Richard+Feynman&qid=1637490438&sr=8-7,To buy
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,Sciences,,https://www.amazon.fr/Thing-Explainer-Complicated-Stuff-Simple/dp/1473637317/ref=sr_1_3?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Randall+Munroe&qid=1637490617&sr=8-3,To buy
Mindfuck,Christopher Wylie,Société,"Goldmine ⭐️    ",,Finished
Atomic Habits,James Clear,Développement personnel,,,Finished
Mémoires vives,Edward Snowden,Société,,https://www.amazon.fr/M%C3%A9moires-vives-Edward-Snowden/dp/275788607X/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2UWGS5J64460Z&keywords=memoires+vives+snowden&qid=1639750308&sprefix=memoires+vives%2Caps%2C209&sr=8-1,Finished
L'Éthique,Spinoza,Philosophie,,https://livre.fnac.com/a247428/Baruch-Spinoza-L-Ethique,Finished
De zéro à un,Peter Thiel,Business,,https://www.amazon.fr/z%C3%A9ro-%C3%A0-Peter-Thiel/dp/2709649314/ref=asc_df_2709649314/?tag=googshopfr-21&linkCode=df0&hvadid=106801252081&hvpos=&hvnetw=g&hvrand=12433826171371867824&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9055715&hvtargid=pla-221351286001&psc=1,Finished
Anéantir,Michel Houellebecq,Roman,,,Finished
Le cygne noir,Nassim Taleb,Société,,,Finished
L'Homme-dé,Luke Rhinehart,Roman,,https://www.amazon.fr/LHomme-d%C3%A9-Luke-Rhinehart/dp/2823604790,Ready to Start
Mensonge romantique et vérité romanesque,René Girard,Roman,,https://www.amazon.fr/Mensonge-romantique-v%C3%A9rit%C3%A9-romanesque-Girard/dp/281850144X,Finished
Power,Robert Greene,Développement personnel,,,Finished
L'étrange cas du dr jekyll et de mr. hyde,Robert Louis Stevenson,Roman,,https://www.recyclivre.com/products/1581815-l-etrange-cas-du-dr-jekyll-et-de-m-hyde,Finished
Frankenstein,Marry Shelley,Roman,,https://www.recyclivre.com/products/96652-frankenstein,Ready to Start
Invention de la science,David Wooton,Sciences,,https://www.amazon.com/Invention-Science-History-Scientific-Revolution/dp/0061759538,To buy
L’étrange défaite,Marc Bloch,Roman,,,Ready to Start
Fictions,Jorge Luis Borges,Roman,,,Finished
Leonard de Vinci,Walter Isaacson,Biograhie,,,To buy
La source vive,Ayn Rand,Roman,,,To buy
Le portrait de Dorian Grey,Oscar Wilde,Roman,,,Ready to Start
De purs hommes,Mohammed Mbouga Sarr,Roman,,,Finished
La Mise en scène de la vie quotidienne,Ervin Goffman,Société,,,To buy
la distinction,Pierre Bourdieu,,,,To buy
,,,,,
